NombrePlato,Ha_sido_pedido,Precio,Id_Producto,TipoPlato,ClasificacionCarta,Personalizacion,PopularidadTemporada,Temporada,Ocasion,TipoCocinaPrimario_Continental,TipoCocinaPrimario_Supranacional,TipoCocinaPrimario_Estatal,TipoCocinaPrimario_Regional,TipoCocinaSecundario_Continental,TipoCocinaSecundario_Supranacional,TipoCocinaSecundario_Estatal,TipoCocinaSecundario_Regional,SaborPrimario,SaborSecundario,SaborExtendidoPrimario,SaborExtendidoSecundario,SaborExtendidoTerciario,TexturaPrincipal,TexturaSecundaria,GruposAlimenticios,NutriScore,TasaRepeticion,PercentilCategoria,Repeticion,TemperaturaConsumo,VolatilidadCostes,Disponibilidad,TiempoConsumo,TipicoReligion,Gluten,Huevos,Lacteos,Carne,Pescado,Moluscos,Crustaceos,Cacahuetes,Frutos secos,Soja,Apio,Mostaza,Sesamo,Altramuz,Sulfitos,AptoIntoleranciaGluten,AptoIntoleranciaLactosa,AptoIntoleranciaFructosa,AptoDietaSinGluten,AptoDietaCetogenica,AptoDietaOvoLactoVegetariana,AptoDietaLactovegetariana,AptoDietaOvovegetariana,AptoDietaVegana,AptoDietaPiscitariana,AptoDietaPaleo,AptoDietaHipercalorica,AptoDiabetes,AptoEmbarazo,AptoHipertension,AptoHipotension,AptoColesterol,AptoDietaBlanda,AptoFacilDeglucion,AptoCristianismo,AptoIslamismo,AptoHinduismo,AptoBudismo,AptoSintoismo,AptoTaoismo,AptoJudaismo,UsaLicuadora,UsaSarten,UsaWok,UsaVaporera,UsaHorno,UsaFreidora,UsaOllaPresion,Carbohidratos,Proteinas,Grasas,Kcal,Alcohol,Cafeina,Cobre,Calcio,Colesterol,Fluor,GrasasSaturadas,VitA,VitC,VitD,VitE,VitK,VitB1,VitB2,VitB3,VitB5,VitB6,VitB12,Fibra,Folato,AcFolico,Yodo,Hierro,Magnesio,Manganeso,Fosforo,Potasio,Selenio,Sodio,Azucar,Zinc,gCarbohidratos,gProteinas,gGrasas,Kcal 100g,CantidadAlcohol,CantidadCafeina,CantidadCobre,CantidadCalcio,CantidadColesterol,CantidadFluor,CantidadGrasasSaturadas,CantidadVitA,CantidadVitC,CantidadVitD,CantidadVitE,CantidadVitK,CantidadVitB1,CantidadVitB2,CantidadVitB3,CantidadVitB5,CantidadVitB6,CantidadVitB12,CantidadFibra,CantidadFolato,CantidadAcFolico,CantidadYodo,CantidadHierro,CantidadMagnesio,CantidadManganeso,CantidadFosforo,CantidadPotasio,CantidadSelenio,CantidadSodio,CantidadAzucar,CantidadZinc,PorcentajeCarbohidratos,PorcentajeProteinas,PorcentajeGrasas,CantidadCarbohidratos,CantidadProteinas,CantidadGrasas,Precio,MargenBeneficio,CosteProduccion,TiempoElaboracion(s),NecesitaRecalentado,TiempoRecalentado(s),NumeroApplianceNecesarios,GradoElaboracionDispensacion
tarta de queso horneada,si,6,594596,postre,postres dulces,1,muy baja,todas,Cena Habitual,,,,,,,,,dulce,,,,,,,Cereales_Azúcar_Dulces,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tarta de queso fría con frutos rojos,si,7,559114,postre,postres dulces,1,muy baja,todas,Fiesta Infantil,,,,,,,,,dulce,,,,,,,Cereales_Azúcar_Dulces,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coulant de chocolate,no,6,,postre,postres dulces,0,muy baja,todas,Comidas Especiales,,,,,,,,,dulce,,,,,,,Cereales_Azúcar_Dulces,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flan de café,si,6,54888,postre,postres dulces,0,muy baja,todas,Cenas Especiales,,,,,,,,,dulce,,,,,,,Cereales_Azúcar_Dulces,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flan de huevo,no,6,543743,postre,postres saludables,0,muy baja,todas,Aperitivos Especiales,,,,,,,,,dulce,,,,,,,Cereales_Azúcar_Dulces,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
macedonia temporada,no,6,291802,postre,postres saludables,1,alta,todas,Comidas Familiares,,,,,,,,,dulce,,,,,,,Frutas,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
macedonia tropical,si,6,47416,postre,postres dulces,1,media,todas,Comida Trabajo,,,,,,,,,dulce,,,,,,,Frutas,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tarta de zanahoria,si,6,399468,postre,postres dulces,1,muy baja,todas,Comida Deportiva,,,,,,,,,dulce,,,,,,,Cereales_Azúcar_Dulces,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tarta de manzana,no,6,1135081,postre,postres dulces,1,muy baja,todas,Comida Trabajo,,,,,,,,,dulce,,,,,,,Cereales_Azúcar_Dulces,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tarta 3 chocolates,si,6,,postre,postres dulces,1,muy baja,todas,Comida Trabajo,,,,,,,,,dulce,,,,,,,Cereales_Azúcar_Dulces,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
